,Column_name,Branches,Child_Columns,Depth,Target,Parent_Col,Parent_Branch
0,addr1,"['106.0' '110.0' '111.0' '122.0' '123.0' '126.0' '130.0' '143.0' '148.0'
 '157.0' '158.0' '159.0' '161.0' '170.0' '177.0' '181.0' '184.0' '191.0'
 '194.0' '199.0' '202.0' '203.0' '204.0' '205.0' '220.0' '225.0' '226.0'
 '231.0' '242.0' '251.0' '253.0' '254.0' '259.0' '264.0' '269.0' '272.0'
 '276.0' '284.0' '296.0' '299.0' '308.0' '310.0' '312.0' '315.0' '324.0'
 '325.0' '327.0' '330.0' '337.0' '343.0' '348.0' '349.0' '356.0' '371.0'
 '381.0' '384.0' '387.0' '389.0' '418.0' '420.0' '426.0' '428.0' '432.0'
 '433.0' '436.0' '441.0' '444.0' '448.0' '465.0' '469.0' '472.0' '476.0'
 '485.0' '492.0' '494.0' '498.0' '499.0' '502.0' '507.0' '508.0' '511.0'
 '512.0' '523.0' '536.0']","['ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'card1', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'card1', 'ProductCD', 'card1', 'ProductCD', 'card1', 'card1', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'card5', 'ProductCD', 'card1', 'C4', 'card1', 'card1', 'card1', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'C10', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'card1', 'card5', 'card1', 'card1', 'ProductCD', 'card1', 'card1', 'card1', 'card1', 'card1', 'card1', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'card1', 'ProductCD', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'card1', 'card1', 'card1', 'card1', 'ProductCD', 'card1', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'card1', 'ProductCD', 'card1']",0,,,0
1,ProductCD,['W'],[],1,0.0,addr1,106.0
2,ProductCD,['R' 'W'],[],1,0.0,addr1,110.0
3,ProductCD,['C'],[],1,0.0,addr1,111.0
4,ProductCD,['H' 'W'],[],1,0.0,addr1,122.0
5,card1,"[ 1078  1214  1675  1684  1724  1804  1893  1906  1939  2318  2392  2408
  2443  2538  2616  2646  2744  2755  2795  2835  2884  3056  3171  3178
  3682  3918  3929  4067  4233  4694  4894  4975  5033  5237  5606  5680
  5747  6019  6156  6530  6741  6745  7438  7471  7680  7815  7861  7919
  8049  8140  8320  8691  8695  8965  9364  9479  9692  9803 10027 10057
 10112 10246 10486 10616 10776 10790 11465 11839 11862 12065 12577 13149
 13307 13481 13484 13551 13810 14631 14694 14766 14868 15066 15205 16070
 16075 16216 16312 16314 16325 16547 16560 16659 17269 17400 17480 17555
 17566 17933 18227 18249]","['ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD']",1,,addr1,123.0
6,card1,"[ 1444  1682  1724  1893  2023  2234  2309  2380  2392  2455  2616  2627
  2755  3605  3682  4030  4063  4436  4490  5220  5396  5561  5567  5938
  5997  6008  6019  6156  6284  6489  6530  6573  7031  7127  7381  7442
  7482  7555  7585  7826  7919  7935  8077  8135  8347  8394  8397  8468
  8578  8695  8868  9175  9500  9537  9803 10112 10493 10616 10856 10961
 10989 11207 11233 11319 11635 11653 11704 11799 11849 11862 12577 12581
 12598 12695 12932 13241 13481 13620 13749 14128 14694 14842 15063 15066
 15841 16075 16188 16255 16560 16566 16659 16748 17055 17396 17568 17635
 18122 18268 18375]","['ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'TransactionDT', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD']",1,,addr1,126.0
7,ProductCD,['C'],[],1,0.0,addr1,130.0
8,card1,"[ 1012  1839  1939  2071  2114  2261  2315  2377  2455  2543  2755  2772
  2946  3492  3623  4141  4591  4663  5832  6019  6053  6081  6170  6207
  6530  6753  6917  6924  7078  7427  7585  7628  7654  7900  7919  7950
  8320  8727  8732  8760  8802  8908  9166  9500  9803  9818  9992 10112
 10265 10493 10616 10804 11465 11534 11686 11822 11862 11987 12449 12577
 12686 12731 12741 13295 13395 13528 14025 14079 14179 15063 15066 15372
 15399 15678 16075 16085 16115 16338 16560 16659 16717 17020 17363 17409
 18249 18350]","['ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD', 'ProductCD']",1,,addr1,143.0
9,ProductCD,['C'],[],1,0.0,addr1,148.0
